threshold,adjR2Geq,#>=,adjR2L,#<
-0.0671,0.096073916,2744,0,1
-0.0661,0.096073916,2744,0,1
-0.0651,0.096073916,2744,0,1
-0.0641,0.096073916,2744,0,1
-0.0631,0.096073916,2744,0,1
-0.0621,0.096073916,2744,0,1
-0.0611,0.096073916,2744,0,1
-0.0601,0.096073916,2744,0,1
-0.0591,0.096073916,2744,0,1
-0.0581,0.096073916,2744,0,1
-0.0571,0.096648805,2743,,2
-0.0561,0.096648805,2743,,2
-0.0551,0.096648805,2743,,2
-0.0541,0.096648805,2743,,2
-0.0531,0.096648805,2743,,2
-0.0521,0.096648805,2743,,2
-0.0511,0.096648805,2743,,2
-0.0501,0.096648805,2743,,2
-0.0491,0.096648805,2743,,2
-0.0481,0.096648805,2743,,2
-0.0471,0.096648805,2743,,2
-0.0461,0.096648805,2743,,2
-0.0451,0.096648805,2743,,2
-0.0441,0.10032334,2742,,3
-0.0431,0.100597517,2741,,4
-0.0421,0.100597517,2741,,4
-0.0411,0.100597517,2741,,4
-0.0401,0.100597517,2741,,4
-0.0391,0.100597517,2741,,4
-0.0381,0.100597517,2741,,4
-0.0371,0.100597517,2741,,4
-0.0361,0.100597517,2741,,4
-0.0351,0.100597517,2741,,4
-0.0341,0.101352623,2740,,5
-0.0331,0.101352623,2740,,5
-0.0321,0.101352623,2740,,5
-0.0311,0.101352623,2740,,5
-0.0301,0.100904197,2738,,7
-0.0291,0.096915049,2734,,11
-0.0281,0.096002272,2733,,12
-0.0271,0.097737123,2731,,14
-0.0261,0.09738076,2729,-0.508695673,16
-0.0251,0.097706265,2726,-0.580649743,19
-0.0241,0.098074793,2723,-0.00552915,22
-0.0231,0.08373453,2718,0.531153707,27
-0.0221,0.080260701,2713,0.510933795,32
-0.0211,0.076578409,2712,0.535747217,33
-0.0201,0.078173199,2708,0.498822656,37
-0.0191,0.076572485,2704,0.550775317,41
-0.0181,0.073739391,2699,0.571271632,46
-0.0171,0.081672901,2691,0.514966354,54
-0.0161,0.082549435,2686,0.498699296,59
-0.0151,0.086100917,2673,0.486270723,72
-0.0141,0.093953385,2662,0.39466546,83
-0.0131,0.090908991,2651,0.190612742,94
-0.0121,0.092531412,2632,0.185626769,113
-0.0111,0.099040076,2609,0.208353543,136
-0.0101,0.099512375,2582,0.176444125,163
-0.0091,0.106113618,2542,0.152244995,203
-0.0081,0.105748244,2509,0.14851001,236
-0.0071,0.107597285,2471,0.141168842,274
-0.0061,0.112450207,2412,0.155288308,333
-0.0051,0.113753927,2340,0.133912133,405
-0.0041,0.119445787,2254,0.12299949,491
-0.0031,0.126756864,2123,0.105659978,622
-0.0021,0.131327876,1966,0.104031452,779
-0.0011,0.141177124,1748,0.092301417,997
-1.00E-04,0.150545817,1512,0.078271698,1233
9.00E-04,0.172731204,1233,0.070311072,1512
0.0019,0.176935829,975,0.077617644,1770
0.0029,0.199618887,765,0.073123596,1980
0.0039,0.220244672,598,0.069795298,2147
0.0049,0.236763547,475,0.065662329,2270
0.0059,0.245809331,354,0.065213968,2391
0.0069,0.26716529,271,0.072225748,2474
0.0079,0.268122329,227,0.069908628,2518
0.0089,0.276684886,180,0.065994119,2565
0.0099,0.271789931,146,0.064707335,2599
0.0109,0.348580833,109,0.070548964,2636
0.0119,0.355906876,87,0.071149088,2658
0.0129,0.419637824,73,0.072549842,2672
0.0139,0.415027306,64,0.073592203,2681
0.0149,0.464010788,51,0.071278659,2694
0.0159,0.454083587,45,0.073028086,2700
0.0169,0.414213764,39,0.089058514,2706
0.0179,0.357802209,33,0.085406837,2712
0.0189,0.287901023,30,0.086266012,2715
0.0199,0.248200613,28,0.086996524,2717
0.0209,0.399840515,24,0.087600498,2721
0.0219,0.858013002,18,0.085709761,2727
0.0229,0.858013002,18,0.085709761,2727
0.0239,0.858013002,18,0.085709761,2727
0.0249,,13,0.085784638,2732
0.0259,,12,0.088767753,2733
0.0269,,11,0.086707576,2734
0.0279,,8,0.086560577,2737
0.0289,,8,0.086560577,2737
0.0299,,8,0.086560577,2737
0.0309,,6,0.085753542,2739
0.0319,,6,0.085753542,2739
0.0329,,5,0.091692989,2740
0.0339,,5,0.091692989,2740
0.0349,,5,0.091692989,2740
0.0359,,5,0.091692989,2740
0.0369,,5,0.091692989,2740
0.0379,,5,0.091692989,2740
0.0389,,5,0.091692989,2740
0.0399,,4,0.092229908,2741
0.0409,,2,0.099638403,2743
0.0419,0,1,0.099767142,2744
0.0429,0,1,0.099767142,2744
0.0439,0,1,0.099767142,2744
0.0449,0,1,0.099767142,2744
0.0459,0,1,0.099767142,2744
0.0469,0,1,0.099767142,2744
0.0479,0,1,0.099767142,2744
0.0489,0,1,0.099767142,2744
0.0499,0,1,0.099767142,2744
0.0509,0,1,0.099767142,2744
0.0519,0,1,0.099767142,2744